FID,address,new_address,confirm,suspect,district,date,lng,lat,gaode_lon,gaode_lat,gps_lon,gps_lat
190,高新社区,高新社区,3,2,新洲区,2020/2/10,114.573095,30.668474,114.576008,30.669933,114.5709293,30.67253318
326,风华园,风华园,14,0,新洲区,2020/2/12,114.532035,30.717861,114.525478,30.712177,114.5202678,30.71465827
361,清安社区,清安社区(邾城街),5,11,新洲区,2020/2/12,114.811512,30.848279,114.80794,30.845915,114.802724,30.84830328
362,凤凰台社区,新洲区邾城街凤凰台社区,4,4,新洲区,2020/2/12,114.816395,30.840428,114.8099,30.834431,114.8046888,30.83682918
366,蔡濠社区,邾城街蔡濠社区江夏花园,3,8,新洲区,2020/2/12,114.814853,30.858214,114.807741,30.852095,114.8025241,30.85447943
371,汽渡社区,汽渡路汽渡社区,1,0,新洲区,2020/2/12,114.327673,30.618289,114.574237,30.631089,114.569159,30.63370446
491,环湖社区,佳运·环湖花园,4,1,新洲区,2020/2/13,114.38811,30.480158,114.562515,30.667548,114.5574135,30.67013222
492,潘家墩社区,潘家墩社区,2,0,新洲区,2020/2/13,114.570295,30.656829,114.563757,30.650937,114.5586594,30.65353054
524,关东街长城社区,龙城华庭,15,13,新洲区,2020/2/14,114.230441,30.639937,114.81375,30.840462,114.808546,30.84286364
665,南山市场,南山村,1,0,新洲区,2020/2/14,114.136266,30.631828,114.664225,30.65203,114.6590851,30.65457129
693,商东社区,商东社区,3,3,新洲区,2020/2/14,114.57648,30.666055,114.570037,30.660284,114.5649501,30.66288197
925,天琴湾社区,天琴湾(环湖路),6,5,新洲区,2020/2/19,114.579876,30.684342,114.573432,30.678267,114.5683489,30.68086071
0,凯乐花园,凯乐花园(舒家街),8,0,武昌区,2020/2/4,114.330361,30.545961,114.323894,30.540319,114.3184256,30.54271367
31,新生里社区,新生里社区(新生路),3,2,武昌区,2020/2/8,114.322212,30.573901,114.316039,30.568062,114.3105807,30.57046179
33,逸居苑,逸居苑(徐东大街),8,6,武昌区,2020/2/8,114.349524,30.598445,114.343117,30.592822,114.337613,30.59516136
36,一生活区,第一生活区,11,6,武昌区,2020/2/8,114.558541,30.70616,114.328396,30.543169,114.32292,30.5455541
38,三生活区,何家垅休养所第三生活区,4,1,武昌区,2020/2/8,114.558541,30.70616,114.330989,30.546192,114.3255085,30.54857111
48,华美达安可酒店,华美达安可酒店,1,0,武昌区,2020/2/9,114.410682,30.465486,114.320119,30.520969,114.3146583,30.52337714
49,中北春天小区,中北春天,2,6,武昌区,2020/2/9,114.367789,30.876721,114.353962,30.566081,114.3484444,30.56841141
125,诚善里社区,诚善里,5,2,武昌区,2020/2/10,114.339643,30.598403,114.332133,30.592879,114.3266466,30.59523892
126,城南新居小区,城南新居,4,3,武昌区,2020/2/10,114.306264,30.512837,114.299488,30.507177,114.2940584,30.50962597
127,锦绣江南小区,锦绣江南(中北路),12,8,武昌区,2020/2/10,114.363236,30.570063,114.357814,30.562769,114.3522916,30.56509439
128,电力新村,杨园街电力新村社区,11,9,武昌区,2020/2/10,114.34924,30.604514,114.343112,30.597886,114.3376075,30.6002234
129,林泰华府,林泰华府,4,1,武昌区,2020/2/10,114.349905,30.602459,114.343649,30.596436,114.3381438,30.59877298
132,水岸星城社区,水岸星城,17,11,武昌区,2020/2/10,114.346622,30.580702,114.343581,30.575601,114.3380777,30.57794603
135,团结名居竹园,团结名居·竹园,5,5,武昌区,2020/2/10,114.351282,30.590434,114.344905,30.584232,114.339399,30.5865714
136,金沙豪庭小区,新安·金沙豪庭,7,0,武昌区,2020/2/10,114.356342,30.571844,114.349739,30.565721,114.3442274,30.56805869
137,新安花园,新安花园,3,0,武昌区,2020/2/10,114.355039,30.57125,114.348632,30.564967,114.343122,30.56730689
154,楚世家小区,东湖楚世家,2,1,武昌区,2020/2/10,114.245559,30.592179,114.366945,30.56395,114.361412,30.56626166
167,城市花园,城市花园,8,17,武昌区,2020/2/10,114.306119,30.543351,114.299589,30.537663,114.2941567,30.54010212
208,融侨华府社区,融侨华府,15,9,武昌区,2020/2/11,114.323329,30.575839,114.316934,30.569745,114.3114741,30.57214252
209,香榭东沙,新长江香榭东沙,1,4,武昌区,2020/2/11,114.326397,30.561504,114.319866,30.555609,114.3144027,30.55800607
211,阳光水岸,阳光水岸(友谊大道),2,3,武昌区,2020/2/11,114.324425,30.568124,114.318025,30.562325,114.3125641,30.56472315
212,武印二村,四清里社区,6,3,武昌区,2020/2/11,114.319434,30.566973,114.313541,30.561193,114.3080871,30.56359987
214,复地东湖国际一二期,复地东湖国际1期,11,0,武昌区,2020/2/11,114.356297,30.565941,114.356882,30.559118,114.3513611,30.56144616
285,金域华府,万科金域华府(友谊大道),2,0,武昌区,2020/2/12,114.358432,30.60706,114.352063,30.600756,114.346545,30.60307649
309,东原时光道,东原·时光道,3,3,武昌区,2020/2/12,114.346497,30.590525,114.339703,30.584704,114.334205,30.58705276
310,安顺花园,安顺花园,2,1,武昌区,2020/2/12,114.34387,30.559731,114.337342,30.553242,114.3318505,30.55560662
311,四美新村小区,四美新村社区,3,4,武昌区,2020/2/12,114.34906,30.606815,114.342814,30.600619,114.3373098,30.60295587
312,四美苑小区,四美苑住宅小区,10,9,武昌区,2020/2/12,114.346981,30.606637,114.340445,30.600537,114.3349445,30.60287826
314,东湖春树里小区,东湖春树里,3,4,武昌区,2020/2/12,114.369019,30.581287,114.362112,30.574917,114.3565833,30.57723144
315,万达公馆,万达环球国际中心5号行政公馆,7,0,武昌区,2020/2/12,114.316362,30.571508,114.335833,30.557381,114.3303436,30.55974701
316,小刘家湾社区,小刘家湾社区(小刘家湾),40,32,武昌区,2020/2/12,114.333945,30.549837,114.330322,30.539722,114.3248431,30.54210457
317,宝通寺社区,宝通寺社区,15,23,武昌区,2020/2/12,114.339553,30.54027,114.33286,30.534131,114.3273775,30.53651059
318,佳馨花园,佳馨花园,2,6,武昌区,2020/2/12,114.343118,30.592722,114.337234,30.586526,114.3317398,30.58887869
319,民主路社区,武昌区粮道街民主路社区,12,14,武昌区,2020/2/12,114.318004,30.550933,114.311506,30.545171,114.3060566,30.54758715
363,南街社区,中南路街涂家岭社区,3,3,武昌区,2020/2/12,114.802309,30.848272,114.329716,30.525286,114.3242394,30.52767447
406,武泰闸花园小区,武泰闸城市花园小区,26,13,武昌区,2020/2/13,114.303839,30.518517,114.297226,30.512836,114.2917987,30.51528682
414,湖北大学保集安,保集安5区,9,10,武昌区,2020/2/13,114.341858,30.580181,114.335684,30.572636,114.3301935,30.57499681
